,Crude_birth_rate,Crude_death_rate,Fertility_rate,DPT_immu,HepB3_immu,Measles_immu,HIV_incidence,TB_incidence,Homicides_per100000,Life_expectancy,Physicians_per1000_people,Population_density,Overweight_prevalence
134,24.131,6.316,2.895,99.0,99.0,99.0,0.01,428.0,6.1825479289,69.689,1.933047540983607,2.0406086665465124,10.5
135,11.732,10.682,1.745,86.0,72.0,42.0,0.05,15.0,2.2299989009,76.77,2.7557,46.262230483271374,5.0777777777777775
136,18.937,5.06,2.415,99.0,99.0,99.0,0.03,99.0,1.4155228849,76.453,1.933047540983607,80.72851893345283,5.0777777777777775
137,37.52,8.544,4.852,88.0,88.0,87.0,4.93,551.0,6.405792268262776,60.163,0.0838,37.50853531371602,5.0777777777777775
138,17.552,8.199,2.154,91.0,91.0,93.0,0.2,338.0,6.405792268262776,66.867,0.677,82.23861548355485,5.0777777777777775
139,28.639,8.057,3.396,89.0,89.0,82.0,3.31,524.0,6.405792268262776,63.373,0.4182,2.9737455817512664,5.0777777777777775
140,19.470302335433498,7.61479427962278,2.625965833807269,90.0,90.0,99.0,0.6182203389830511,54.0,6.405792268262776,72.76090832407365,1.933047540983607,635.2,5.0777777777777775
141,19.887,6.361,1.917,91.0,91.0,91.0,0.03,151.0,6.405792268262776,70.478,0.7486,195.93910708057203,5.0777777777777775
142,9.7,8.9,1.59,93.0,92.0,93.0,0.02,5.3,0.58618158968,81.81219512195123,1.933047540983607,511.47592757494806,5.0777777777777775
143,14.5,5.5,1.97,87.84767327986886,86.86502286138119,86.92359599156109,0.6182203389830511,15.0,6.405792268262776,77.14878048780488,1.933047540983607,15.539387308533916,5.0777777777777775
144,11.98,6.86,1.71,93.0,93.0,92.0,0.03,7.3,6.405792268262776,81.85853658536587,3.5898,18.38517336979226,5.0777777777777775
145,20.641,5.061,2.404,98.0,98.0,99.0,0.07,41.0,6.405792268262776,74.275,0.9775,53.72704836297158,5.0777777777777775
146,46.079,8.268,6.913,79.0,79.0,77.0,0.06,87.0,6.405792268262776,62.024,1.933047540983607,17.717650588142416,1.0
147,37.905,11.86,5.387,56.0,56.0,54.0,0.53,219.0,6.405792268262776,54.332,0.3806,215.06498896538093,2.1
148,10.811,10.051,1.496,92.0,92.0,75.0,0.6182203389830511,13.0,1.2002168072,75.688,1.933047540983607,82.59151467089612,5.0777777777777775
149,19.470302335433498,7.61479427962278,2.625965833807269,87.84767327986886,86.86502286138119,86.92359599156109,0.6182203389830511,95.0,6.405792268262776,72.76090832407365,1.933047540983607,123.65652173913044,5.0777777777777775
150,10.4,7.7,1.56,96.0,86.86502286138119,96.0,0.6182203389830511,4.1,0.46834371183,82.75853658536586,2.9164,14.548291634165668,5.0777777777777775
151,19.189,2.436,2.888,99.0,99.0,99.0,0.04,5.9,0.26918034172,77.633,2.0031,15.604145395799677,5.0777777777777775
152,28.25,6.942,3.51,75.0,75.0,73.0,0.11,265.0,3.8830827302,67.114,0.9801,275.2893187007057,2.5
153,14.0,7.8,2.625965833807269,95.0,98.0,90.0,0.6182203389830511,109.0,11.166322372,72.76090832407365,1.933047540983607,38.928260869565214,5.0777777777777775
154,18.976,5.076,2.461,88.0,88.0,98.0,0.6182203389830511,52.0,9.3850224618,78.329,1.933047540983607,56.186077481840194,5.0777777777777775
155,27.073,7.427,3.564,35.0,35.0,37.0,0.4,432.0,6.405792268262776,64.263,0.0699,19.004363379410854,5.0777777777777775
